NOMBRE,COSTOPROD,PRECIOVENT,VENDIDOS,DISPONIBLES,ID_MENU,MAX_DISP,NOMRESTAURANTE
MENU 199,10000,20000,500,250,199,500,RESTAURANTE 199
MENU 200,10000,20000,500,250,200,500,RESTAURANTE 200
MENU 201,10000,20000,500,250,201,500,RESTAURANTE 201
MENU 202,10000,20000,500,250,202,500,RESTAURANTE 202
MENU 203,10000,20000,500,250,203,500,RESTAURANTE 203
MENU 204,10000,20000,500,250,204,500,RESTAURANTE 204
MENU 205,10000,20000,500,250,205,500,RESTAURANTE 205
MENU 206,10000,20000,500,250,206,500,RESTAURANTE 206
MENU 207,10000,20000,500,250,207,500,RESTAURANTE 207
MENU 208,10000,20000,500,250,208,500,RESTAURANTE 208
MENU 209,10000,20000,500,250,209,500,RESTAURANTE 209
MENU 210,10000,20000,500,250,210,500,RESTAURANTE 210
MENU 211,10000,20000,500,250,211,500,RESTAURANTE 211
MENU 212,10000,20000,500,250,212,500,RESTAURANTE 212
MENU 213,10000,20000,500,250,213,500,RESTAURANTE 213
MENU 214,10000,20000,500,250,214,500,RESTAURANTE 214
MENU 215,10000,20000,500,250,215,500,RESTAURANTE 215
MENU 216,10000,20000,500,250,216,500,RESTAURANTE 216
MENU 217,10000,20000,500,250,217,500,RESTAURANTE 217
MENU 218,10000,20000,500,250,218,500,RESTAURANTE 218
MENU 219,10000,20000,500,250,219,500,RESTAURANTE 219
MENU 220,10000,20000,500,250,220,500,RESTAURANTE 220
MENU 221,10000,20000,500,250,221,500,RESTAURANTE 221
MENU 222,10000,20000,500,250,222,500,RESTAURANTE 222
MENU 223,10000,20000,500,250,223,500,RESTAURANTE 223
MENU 224,10000,20000,500,250,224,500,RESTAURANTE 224
MENU 225,10000,20000,500,250,225,500,RESTAURANTE 225
MENU 226,10000,20000,500,250,226,500,RESTAURANTE 226
MENU 227,10000,20000,500,250,227,500,RESTAURANTE 227
MENU 228,10000,20000,500,250,228,500,RESTAURANTE 228
MENU 229,10000,20000,500,250,229,500,RESTAURANTE 229
MENU 230,10000,20000,500,250,230,500,RESTAURANTE 230
MENU 231,10000,20000,500,250,231,500,RESTAURANTE 231
MENU 232,10000,20000,500,250,232,500,RESTAURANTE 232
MENU 233,10000,20000,500,250,233,500,RESTAURANTE 233
MENU 234,10000,20000,500,250,234,500,RESTAURANTE 234
MENU 235,10000,20000,500,250,235,500,RESTAURANTE 235
MENU 236,10000,20000,500,250,236,500,RESTAURANTE 236
MENU 237,10000,20000,500,250,237,500,RESTAURANTE 237
MENU 238,10000,20000,500,250,238,500,RESTAURANTE 238
MENU 239,10000,20000,500,250,239,500,RESTAURANTE 239
MENU 240,10000,20000,500,250,240,500,RESTAURANTE 240
MENU 241,10000,20000,500,250,241,500,RESTAURANTE 241
MENU 242,10000,20000,500,250,242,500,RESTAURANTE 242
MENU 243,10000,20000,500,250,243,500,RESTAURANTE 243
MENU 244,10000,20000,500,250,244,500,RESTAURANTE 244
MENU 245,10000,20000,500,250,245,500,RESTAURANTE 245
MENU 246,10000,20000,500,250,246,500,RESTAURANTE 246
MENU 247,10000,20000,500,250,247,500,RESTAURANTE 247
MENU 248,10000,20000,500,250,248,500,RESTAURANTE 248
MENU 249,10000,20000,500,250,249,500,RESTAURANTE 249
MENU 250,10000,20000,500,250,250,500,RESTAURANTE 250
MENU 251,10000,20000,500,250,251,500,RESTAURANTE 251
MENU 252,10000,20000,500,250,252,500,RESTAURANTE 252
MENU 253,10000,20000,500,250,253,500,RESTAURANTE 253
MENU 254,10000,20000,500,250,254,500,RESTAURANTE 254
MENU 255,10000,20000,500,250,255,500,RESTAURANTE 255
MENU 256,10000,20000,500,250,256,500,RESTAURANTE 256
MENU 257,10000,20000,500,250,257,500,RESTAURANTE 257
MENU 258,10000,20000,500,250,258,500,RESTAURANTE 258
MENU 259,10000,20000,500,250,259,500,RESTAURANTE 259
MENU 260,10000,20000,500,250,260,500,RESTAURANTE 260
MENU 261,10000,20000,500,250,261,500,RESTAURANTE 261
MENU 262,10000,20000,500,250,262,500,RESTAURANTE 262
MENU 263,10000,20000,500,250,263,500,RESTAURANTE 263
MENU 264,10000,20000,500,250,264,500,RESTAURANTE 264
MENU 265,10000,20000,500,250,265,500,RESTAURANTE 265
MENU 266,10000,20000,500,250,266,500,RESTAURANTE 266
MENU 267,10000,20000,500,250,267,500,RESTAURANTE 267
MENU 268,10000,20000,500,250,268,500,RESTAURANTE 268
MENU 269,10000,20000,500,250,269,500,RESTAURANTE 269
MENU 270,10000,20000,500,250,270,500,RESTAURANTE 270
MENU 271,10000,20000,500,250,271,500,RESTAURANTE 271
MENU 272,10000,20000,500,250,272,500,RESTAURANTE 272
MENU 273,10000,20000,500,250,273,500,RESTAURANTE 273
MENU 274,10000,20000,500,250,274,500,RESTAURANTE 274
MENU 275,10000,20000,500,250,275,500,RESTAURANTE 275
MENU 276,10000,20000,500,250,276,500,RESTAURANTE 276
MENU 277,10000,20000,500,250,277,500,RESTAURANTE 277
MENU 278,10000,20000,500,250,278,500,RESTAURANTE 278
MENU 279,10000,20000,500,250,279,500,RESTAURANTE 279
MENU 280,10000,20000,500,250,280,500,RESTAURANTE 280
MENU 281,10000,20000,500,250,281,500,RESTAURANTE 281
MENU 282,10000,20000,500,250,282,500,RESTAURANTE 282
MENU 283,10000,20000,500,250,283,500,RESTAURANTE 283
MENU 284,10000,20000,500,250,284,500,RESTAURANTE 284
MENU 285,10000,20000,500,250,285,500,RESTAURANTE 285
MENU 286,10000,20000,500,250,286,500,RESTAURANTE 286
MENU 287,10000,20000,500,250,287,500,RESTAURANTE 287
MENU 288,10000,20000,500,250,288,500,RESTAURANTE 288
MENU 289,10000,20000,500,250,289,500,RESTAURANTE 289
MENU 290,10000,20000,500,250,290,500,RESTAURANTE 290
MENU 291,10000,20000,500,250,291,500,RESTAURANTE 291
MENU 292,10000,20000,500,250,292,500,RESTAURANTE 292
MENU 293,10000,20000,500,250,293,500,RESTAURANTE 293
MENU 294,10000,20000,500,250,294,500,RESTAURANTE 294
MENU 295,10000,20000,500,250,295,500,RESTAURANTE 295
MENU 296,10000,20000,500,250,296,500,RESTAURANTE 296
MENU 297,10000,20000,500,250,297,500,RESTAURANTE 297
MENU 298,10000,20000,500,250,298,500,RESTAURANTE 298
MENU 299,10000,20000,500,250,299,500,RESTAURANTE 299
MENU 300,10000,20000,500,250,300,500,RESTAURANTE 300
MENU 301,10000,20000,500,250,301,500,RESTAURANTE 301
MENU 302,10000,20000,500,250,302,500,RESTAURANTE 302
MENU 303,10000,20000,500,250,303,500,RESTAURANTE 303
MENU 304,10000,20000,500,250,304,500,RESTAURANTE 304
MENU 305,10000,20000,500,250,305,500,RESTAURANTE 305
MENU 306,10000,20000,500,250,306,500,RESTAURANTE 306
MENU 307,10000,20000,500,250,307,500,RESTAURANTE 307
MENU 308,10000,20000,500,250,308,500,RESTAURANTE 308
MENU 309,10000,20000,500,250,309,500,RESTAURANTE 309
MENU 310,10000,20000,500,250,310,500,RESTAURANTE 310
MENU 311,10000,20000,500,250,311,500,RESTAURANTE 311
MENU 312,10000,20000,500,250,312,500,RESTAURANTE 312
MENU 313,10000,20000,500,250,313,500,RESTAURANTE 313
MENU 314,10000,20000,500,250,314,500,RESTAURANTE 314
MENU 315,10000,20000,500,250,315,500,RESTAURANTE 315
MENU 316,10000,20000,500,250,316,500,RESTAURANTE 316
MENU 317,10000,20000,500,250,317,500,RESTAURANTE 317
MENU 318,10000,20000,500,250,318,500,RESTAURANTE 318
MENU 319,10000,20000,500,250,319,500,RESTAURANTE 319
MENU 320,10000,20000,500,250,320,500,RESTAURANTE 320
MENU 321,10000,20000,500,250,321,500,RESTAURANTE 321
MENU 322,10000,20000,500,250,322,500,RESTAURANTE 322
MENU 323,10000,20000,500,250,323,500,RESTAURANTE 323
MENU 324,10000,20000,500,250,324,500,RESTAURANTE 324
MENU 325,10000,20000,500,250,325,500,RESTAURANTE 325
MENU 326,10000,20000,500,250,326,500,RESTAURANTE 326
MENU 327,10000,20000,500,250,327,500,RESTAURANTE 327
MENU 328,10000,20000,500,250,328,500,RESTAURANTE 328
MENU 329,10000,20000,500,250,329,500,RESTAURANTE 329
MENU 330,10000,20000,500,250,330,500,RESTAURANTE 330
MENU 331,10000,20000,500,250,331,500,RESTAURANTE 331
MENU 332,10000,20000,500,250,332,500,RESTAURANTE 332
MENU 333,10000,20000,500,250,333,500,RESTAURANTE 333
MENU 334,10000,20000,500,250,334,500,RESTAURANTE 334
MENU 335,10000,20000,500,250,335,500,RESTAURANTE 335
MENU 336,10000,20000,500,250,336,500,RESTAURANTE 336
MENU 337,10000,20000,500,250,337,500,RESTAURANTE 337
MENU 338,10000,20000,500,250,338,500,RESTAURANTE 338
MENU 339,10000,20000,500,250,339,500,RESTAURANTE 339
MENU 340,10000,20000,500,250,340,500,RESTAURANTE 340
MENU 341,10000,20000,500,250,341,500,RESTAURANTE 341
MENU 342,10000,20000,500,250,342,500,RESTAURANTE 342
MENU 343,10000,20000,500,250,343,500,RESTAURANTE 343
MENU 344,10000,20000,500,250,344,500,RESTAURANTE 344
MENU 345,10000,20000,500,250,345,500,RESTAURANTE 345
MENU 346,10000,20000,500,250,346,500,RESTAURANTE 346
MENU 347,10000,20000,500,250,347,500,RESTAURANTE 347
MENU 348,10000,20000,500,250,348,500,RESTAURANTE 348
MENU 349,10000,20000,500,250,349,500,RESTAURANTE 349
MENU 350,10000,20000,500,250,350,500,RESTAURANTE 350
MENU 351,10000,20000,500,250,351,500,RESTAURANTE 351
MENU 352,10000,20000,500,250,352,500,RESTAURANTE 352
MENU 353,10000,20000,500,250,353,500,RESTAURANTE 353
MENU 354,10000,20000,500,250,354,500,RESTAURANTE 354
MENU 355,10000,20000,500,250,355,500,RESTAURANTE 355
MENU 356,10000,20000,500,250,356,500,RESTAURANTE 356
MENU 357,10000,20000,500,250,357,500,RESTAURANTE 357
MENU 358,10000,20000,500,250,358,500,RESTAURANTE 358
MENU 359,10000,20000,500,250,359,500,RESTAURANTE 359
MENU 360,10000,20000,500,250,360,500,RESTAURANTE 360
MENU 361,10000,20000,500,250,361,500,RESTAURANTE 361
MENU 362,10000,20000,500,250,362,500,RESTAURANTE 362
MENU 363,10000,20000,500,250,363,500,RESTAURANTE 363
MENU 364,10000,20000,500,250,364,500,RESTAURANTE 364
MENU 365,10000,20000,500,250,365,500,RESTAURANTE 365
MENU 366,10000,20000,500,250,366,500,RESTAURANTE 366
MENU 367,10000,20000,500,250,367,500,RESTAURANTE 367
MENU 368,10000,20000,500,250,368,500,RESTAURANTE 368
MENU 369,10000,20000,500,250,369,500,RESTAURANTE 369
MENU 370,10000,20000,500,250,370,500,RESTAURANTE 370
MENU 371,10000,20000,500,250,371,500,RESTAURANTE 371
MENU 372,10000,20000,500,250,372,500,RESTAURANTE 372
MENU 373,10000,20000,500,250,373,500,RESTAURANTE 373
MENU 374,10000,20000,500,250,374,500,RESTAURANTE 374
MENU 375,10000,20000,500,250,375,500,RESTAURANTE 375
MENU 376,10000,20000,500,250,376,500,RESTAURANTE 376
MENU 377,10000,20000,500,250,377,500,RESTAURANTE 377
MENU 378,10000,20000,500,250,378,500,RESTAURANTE 378
MENU 379,10000,20000,500,250,379,500,RESTAURANTE 379
MENU 380,10000,20000,500,250,380,500,RESTAURANTE 380
MENU 381,10000,20000,500,250,381,500,RESTAURANTE 381
MENU 382,10000,20000,500,250,382,500,RESTAURANTE 382
MENU 383,10000,20000,500,250,383,500,RESTAURANTE 383
MENU 384,10000,20000,500,250,384,500,RESTAURANTE 384
MENU 385,10000,20000,500,250,385,500,RESTAURANTE 385
MENU 386,10000,20000,500,250,386,500,RESTAURANTE 386
MENU 387,10000,20000,500,250,387,500,RESTAURANTE 387
MENU 388,10000,20000,500,250,388,500,RESTAURANTE 388
MENU 389,10000,20000,500,250,389,500,RESTAURANTE 389
MENU 390,10000,20000,500,250,390,500,RESTAURANTE 390
MENU 391,10000,20000,500,250,391,500,RESTAURANTE 391
MENU 392,10000,20000,500,250,392,500,RESTAURANTE 392
MENU 393,10000,20000,500,250,393,500,RESTAURANTE 393
MENU 394,10000,20000,500,250,394,500,RESTAURANTE 394
MENU 395,10000,20000,500,250,395,500,RESTAURANTE 395
MENU 396,10000,20000,500,250,396,500,RESTAURANTE 396
MENU 397,10000,20000,500,250,397,500,RESTAURANTE 397
MENU 398,10000,20000,500,250,398,500,RESTAURANTE 398
MENU 399,10000,20000,500,250,399,500,RESTAURANTE 399
MENU 400,10000,20000,500,250,400,500,RESTAURANTE 400
MENU 401,10000,20000,500,250,401,500,RESTAURANTE 401
MENU 402,10000,20000,500,250,402,500,RESTAURANTE 402
MENU 403,10000,20000,500,250,403,500,RESTAURANTE 403
MENU 404,10000,20000,500,250,404,500,RESTAURANTE 404
MENU 405,10000,20000,500,250,405,500,RESTAURANTE 405
MENU 406,10000,20000,500,250,406,500,RESTAURANTE 406
MENU 407,10000,20000,500,250,407,500,RESTAURANTE 407
MENU 408,10000,20000,500,250,408,500,RESTAURANTE 408
MENU 409,10000,20000,500,250,409,500,RESTAURANTE 409
MENU 410,10000,20000,500,250,410,500,RESTAURANTE 410
MENU 411,10000,20000,500,250,411,500,RESTAURANTE 411
MENU 412,10000,20000,500,250,412,500,RESTAURANTE 412
MENU 413,10000,20000,500,250,413,500,RESTAURANTE 413
MENU 414,10000,20000,500,250,414,500,RESTAURANTE 414
MENU 415,10000,20000,500,250,415,500,RESTAURANTE 415
MENU 416,10000,20000,500,250,416,500,RESTAURANTE 416
MENU 417,10000,20000,500,250,417,500,RESTAURANTE 417
MENU 418,10000,20000,500,250,418,500,RESTAURANTE 418
MENU 419,10000,20000,500,250,419,500,RESTAURANTE 419
MENU 420,10000,20000,500,250,420,500,RESTAURANTE 420
MENU 421,10000,20000,500,250,421,500,RESTAURANTE 421
MENU 422,10000,20000,500,250,422,500,RESTAURANTE 422
MENU 423,10000,20000,500,250,423,500,RESTAURANTE 423
MENU 424,10000,20000,500,250,424,500,RESTAURANTE 424
MENU 425,10000,20000,500,250,425,500,RESTAURANTE 425
MENU 426,10000,20000,500,250,426,500,RESTAURANTE 426
MENU 427,10000,20000,500,250,427,500,RESTAURANTE 427
MENU 428,10000,20000,500,250,428,500,RESTAURANTE 428
MENU 429,10000,20000,500,250,429,500,RESTAURANTE 429
MENU 430,10000,20000,500,250,430,500,RESTAURANTE 430
MENU 431,10000,20000,500,250,431,500,RESTAURANTE 431
MENU 432,10000,20000,500,250,432,500,RESTAURANTE 432
MENU 433,10000,20000,500,250,433,500,RESTAURANTE 433
MENU 434,10000,20000,500,250,434,500,RESTAURANTE 434
MENU 435,10000,20000,500,250,435,500,RESTAURANTE 435
MENU 436,10000,20000,500,250,436,500,RESTAURANTE 436
MENU 437,10000,20000,500,250,437,500,RESTAURANTE 437
MENU 438,10000,20000,500,250,438,500,RESTAURANTE 438
MENU 439,10000,20000,500,250,439,500,RESTAURANTE 439
MENU 440,10000,20000,500,250,440,500,RESTAURANTE 440
MENU 441,10000,20000,500,250,441,500,RESTAURANTE 441
MENU 442,10000,20000,500,250,442,500,RESTAURANTE 442
MENU 443,10000,20000,500,250,443,500,RESTAURANTE 443
MENU 444,10000,20000,500,250,444,500,RESTAURANTE 444
MENU 445,10000,20000,500,250,445,500,RESTAURANTE 445
MENU 446,10000,20000,500,250,446,500,RESTAURANTE 446
MENU 447,10000,20000,500,250,447,500,RESTAURANTE 447
